"Time Period","Observation Value","Disaggregation classification","Reference Area Code (M49)","Time Detail","Nature of Data","Unit of Measurement","Reporting Type","Source","Reference Area Type","Reference Area Name"
2000,228.204911667426,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2001,195.208851482967,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2001,214.570490136322,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2001,236.445697691542,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2002,203.772697066484,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2002,223.151167473972,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2002,244.652251093644,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2003,212.448917793306,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2003,231.379107968112,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2003,252.501478928448,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2004,219.496130083861,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2004,238.138051641316,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2004,259.552744507735,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2005,221.822062793637,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2005,240.405562669908,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2005,262.182022602837,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2006,219.058864277882,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2006,237.575292792577,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2006,259.802341035081,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2007,213.984592360778,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2007,232.882797927994,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2007,255.725719060736,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2008,202.438714750831,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2008,222.054900130301,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2008,245.51725583465,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2009,189.557126154959,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2009,209.643732645558,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2009,233.450334507807,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2010,181.146542752644,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2010,201.383155534302,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2010,225.614442820015,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2011,171.211060655187,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2011,191.52150800806,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2011,216.229769611559,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2012,154.828328484132,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2012,175.23486683639,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2012,200.880505039875,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2013,145.498309034316,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2013,166.426466854378,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2013,193.002720864178,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2014,140.502950756472,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2014,161.876134863229,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2014,189.577749193081,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2015,136.588254212577,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2015,158.33678439662,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2015,187.630934088869,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2016,132.688426921209,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2016,154.887235622919,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2016,185.57003376816,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2017,128.294543633929,"Uncertainty bounds: lower bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2017,151.049493262336,"Uncertainty bounds: mid-point",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
2017,182.878790505001,"Uncertainty bounds: upper bound",18,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Southern Africa (M49)"
1985,117.402367863373,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1985,129.189090415682,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1985,143.060845466149,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1986,114.526288932058,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1986,124.954288980607,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1986,137.057058478534,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1987,110.561045205707,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1987,119.892724648257,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1987,130.417335669658,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1988,107.365516471676,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1988,115.737758729815,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1988,125.282903835498,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1989,103.900049577216,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1989,111.649561883372,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1989,120.169849617045,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1990,99.2906190973529,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1990,106.137882005011,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1990,113.560999691282,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1991,96.758585304402,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1991,102.909881551417,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1991,109.734348365159,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1992,94.1640622881441,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1992,99.9013375761181,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1992,106.097579104845,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1993,92.1858271209003,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1993,97.5093795520087,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1993,103.25590809897,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1994,89.8310587864244,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1994,94.5998185003113,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1994,99.8272491133134,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1995,85.3502226052722,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1995,89.5265891494782,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1995,94.0463426214721,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1996,81.8643421031919,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1996,85.5063356371625,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1996,89.2542212988513,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1997,78.826218702672,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1997,81.9359522138729,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1997,85.2631112986115,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1998,76.9448108055521,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1998,79.7733887397352,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1998,82.8220646115395,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1999,73.6024269670533,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1999,76.2666156187992,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1999,79.2391029879217,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2000,70.8984287110236,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2000,73.2219253535081,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2000,75.8147256869472,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2001,69.6550827329265,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2001,71.9804490129783,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2001,74.5814245027437,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2002,69.4134722324691,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2002,71.8154160246922,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2002,74.3975563448512,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2003,68.1721367976694,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2003,70.5665993865399,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2003,73.1045904465438,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2004,67.8966587230493,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2004,70.3830874636781,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2004,73.2017995327968,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2005,66.2338537722723,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2005,68.5072427708583,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2005,71.094596910313,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2006,65.2745851189905,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2006,67.6498689315841,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2006,70.3216507520403,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2007,64.3077018342996,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2007,66.7035738427934,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2007,69.4627503775285,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2008,63.5505406147997,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2008,65.9929318633424,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2008,68.9109553315486,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2009,63.8966773527129,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2009,66.4275368173422,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2009,69.359830021888,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2010,61.1637422220249,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2010,64.4144185859164,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2010,68.7016501763313,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2011,59.8593733144447,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2011,62.4814329459676,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2011,65.6481471866852,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2012,58.7685176375223,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2012,61.4971697262642,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2012,64.8597995818488,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2013,57.914126572249,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2013,60.7558063585263,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2013,64.2937452595032,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2014,57.3759798732359,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2014,60.3309634941059,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2014,64.0924380256313,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2015,56.9893404533192,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2015,60.0946683096043,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2015,64.0064896091789,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2016,56.3575282942632,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2016,59.6213377030787,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2016,63.7669357914083,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2017,54.9197956606657,"Uncertainty bounds: lower bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2017,58.3753376943886,"Uncertainty bounds: mid-point",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
2017,62.7244034921233,"Uncertainty bounds: upper bound",19,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.4-Regional (M49)","Americas (m49)"
1985,8.44215302855599,"Uncertainty bounds: lower bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1985,10.3269051056669,"Uncertainty bounds: mid-point",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1985,12.7314927996994,"Uncertainty bounds: upper bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1986,8.80394479855846,"Uncertainty bounds: lower bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1986,10.5225912744612,"Uncertainty bounds: mid-point",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1986,12.7777589464527,"Uncertainty bounds: upper bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1987,8.98156470000097,"Uncertainty bounds: lower bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1987,10.5867805533974,"Uncertainty bounds: mid-point",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
1987,12.6031065906593,"Uncertainty bounds: upper bound",21,"Calendar year","E","Maternal Mortality per 100,000 live births","G","UNMMEIG","2.1-Regional (SDG)","Northern America (M49)"
